id_det_tra,id_trayectoria,orden,fecha,longitud,latitud,distancia,duracion,velocidad,coordenadas,tipo_coordenada
21223,352,349,"2021-03-12 07:50:19-05",-79.895446,-2.183604,6.939,1.97,3.522,0101000020E61000006155BDFC4EF953C07A51BB5F057801C0,V
12124,122,504,"2021-02-17 02:54:51-05",-79.885974,-2.129564,21.068,2.001,10.529,0101000020E6100000CEC64ACCB3F853C05BE9B5D9580901C0,V
18638,332,135,"2021-03-12 03:13:19-05",-79.896427,-2.181637,2.804,1.994,1.406,0101000020E610000017105A0F5FF953C0CBF27519FE7301C0,V
31963,384,472,"2021-03-15 03:07:32-05",-79.875332,-2.125807,40.779,1.992,20.471,0101000020E61000001B49827005F853C0ECDCB419A70101C0,M
31803,384,392,"2021-03-15 03:07:32-05",-79.872282,-2.108037,38.88,1.996,19.479,0101000020E6100000EDB8E177D3F753C04910AE8042DD00C0,M
39558,402,16,"2021-03-26 01:06:08-05",-79.920359,-2.087336,0,0.024,0,0101000020E610000013656F29E7FA53C08F1B7E37DDB200C0,O
38634,394,1298,"2021-03-22 01:53:42-05",-79.866397,-2.073991,36.387,2.013,18.076,0101000020E61000009016670C73F753C03196E997889700C0,M
26530,373,31,"2021-03-12 11:03:27-05",-79.876333,-2.181397,5.739,1.328,4.321,0101000020E6100000F5D901D715F853C077BD3445807301C0,C
11994,121,511,"2021-02-17 02:54:51-05",-79.884965,-2.129057,25.383,2.037,12.461,0101000020E6100000B2463D44A3F853C0198F52094F0801C0,V
22004,357,16,"2021-03-12 08:22:03-05",-79.92517,-2.210866,12.621,1.991,6.339,0101000020E6100000614F3BFC35FB53C0EAB46E83DAAF01C0,C
17565,328,455,"2021-03-12 02:59:25-05",-79.883055,-2.127165,43.939,2.001,21.958,0101000020E61000006F641EF983F853C0159161156F0401C0,V
28734,374,1091,"2021-03-12 11:17:01-05",-79.914347,-2.145932,31.146,2.023,15.396,0101000020E6100000878C47A984FA53C0DC847B65DE2A01C0,V
32307,384,644,"2021-03-15 03:07:32-05",-79.886007,-2.146782,23.987,1.964,12.213,0101000020E6100000BC41B456B4F853C0BC218D0A9C2C01C0,M
36241,394,100,"2021-03-22 01:53:42-05",-80.089324,-2.221845,0.585,2.011,0.291,0101000020E6100000DEAF027CB70554C0BC3FDEAB56C601C0,M
28485,374,965,"2021-03-12 11:17:01-05",-79.937932,-2.081449,35.123,2.001,17.552,0101000020E6100000CD77F01307FC53C0D255BABBCEA600C0,V
11054,121,10,"2021-02-17 02:54:51-05",-79.832452,-2.06892,11.488,2.001,5.741,0101000020E610000059DFC0E446F553C09352D0ED258D00C0,V
18670,333,11,"2021-03-12 03:56:02-05",-79.897425,-2.182157,1,1,1,0101000020E6100000386744696FF953C058E6ADBA0E7501C0,O
29619,377,112,"2021-03-12 11:23:02-05",-79.904188,-2.196818,14.688,2.003,7.333,0101000020E6100000E25B5837DEF953C0EF1CCA50159301C0,C
14203,312,12,"2021-03-02 06:04:49-05",-79.8963771,-2.18186,1,1,1,0101000020E610000088580E3E5EF953C0BF9A0304737401C0,O
22775,360,162,"2021-03-12 08:44:39-05",-79.907637,-2.219228,10.424,2.013,5.178,0101000020E6100000EEE87FB916FA53C09EF0129CFAC001C0,C
30510,383,30,"2021-03-12 12:14:23-05",-79.905833,-2.12003,9.979,2.02,4.94,0101000020E6100000CEA8F92AF9F953C0A04FE449D2F500C0,C
20000,340,583,"2021-03-12 05:09:58-05",-79.892884,-2.186285,10.324,1.746,5.913,0101000020E6100000C9C7EE0225F953C004E275FD827D01C0,C
