coordenadas,id_trayectoria
"(-79.94875,-2.8498484)",255
"(-79.873607,-2.087672)",384
"(-79.886219,-2.152379)",328
"(-79.947749,-2.114554)",375
"(-79.867005,-2.073964)",384
"(-79.886269,-2.15198)",384
"(-79.894502,-2.186374)",360
"(-79.88539,-2.14553)",385
"(-79.947514,-2.085105)",374
"(-79.956579,-2.216034)",374
"(-79.883345,-2.141804)",121
"(-79.890831,-2.047282)",390
"(-79.886064,-2.129319)",122
"(-79.976665,-2.184259)",391
"(-79.842782,-2.072472)",390
"(-79.873692,-2.081899)",319
"(-79.874032,-2.096699)",328
"(-79.83367,-2.068259)",121
"(-79.872224,-2.061715)",389
"(-79.919011,-2.218274)",361
"(-80.26838,-2.337042)",394
"(-79.883635,-2.115362)",319
"(-79.954335,-2.186394)",391
"(-79.94875,-2.8498484)",263
"(-79.94875,-2.8498484)",259
"(-79.86641,-2.122282)",318
"(-79.872444,-2.059306)",390
"(-79.894726,-2.19277)",340
"(-79.929158,-2.196179)",376
"(-79.894197,-2.191067)",361
"(-79.920399,-2.08736)",401
"(-79.894161,-2.190886)",361
"(-79.898521,-2.170471)",383
"(-79.914344,-2.203061)",356
"(-79.917688,-2.196172)",341
"(-79.924146,-2.206769)",356
"(-79.940892,-2.233524)",375
"(-79.89703,-2.185319)",360
"(-79.948794,-2.121839)",374
"(-79.921974,-2.07546)",391
"(-79.897697,-2.202282)",357
"(-79.865285,-2.122439)",326
"(-79.926694,-2.237722)",374
"(-79.950337,-2.185039)",374
"(-79.92878,-2.15898)",386
"(-79.924651,-2.163909)",351
"(-79.896199,-2.167301)",367
"(-79.832202,-2.068422)",319
"(-79.94875,-2.8498484)",248
"(-79.905017,-2.205573)",357
"(-79.923955,-2.238672)",374
"(-79.896915,-2.182183)",352
"(-79.8923,-2.16602)",385
"(-79.917508,-2.097581)",349
"(-80.091064,-2.223019)",393
"(-79.939043,-2.224013)",341
"(-79.894708,-2.181804)",351
"(-79.858134,-2.07563)",384
"(-79.874277,-2.125664)",384
"(-79.947857,-2.115824)",375
"(-79.943559,-2.08434)",375
"(-79.948054,-2.094451)",391
"(-80.36627,-2.402819)",394
"(-79.94769,-2.15482)",392
"(-79.908757,-2.188481)",371
"(-79.897894,-2.157442)",349
"(-79.898555,-2.205017)",361
"(-79.834804,-2.07272)",122
"(-79.872555,-2.106881)",326
"(-79.902065,-2.182038)",351
"(-79.873084,-2.104407)",122
"(-79.896298,-2.181443)",352
"(-79.869704,-2.073549)",318
"(-79.872605,-2.073166)",384
"(-79.890975,-2.240914)",375
"(-79.867967,-2.117682)",122
"(-79.892257,-2.134744)",394
"(-79.901562,-2.214693)",360
"(-79.853197,-2.075789)",394
"(-79.89768,-2.178002)",383
"(-79.922912,-2.058885)",391
"(-79.882912,-2.120207)",319
"(-79.922448,-2.166314)",386
"(-79.945827,-2.144622)",392
"(-79.887797,-2.157102)",385
"(-79.918587,-2.195939)",340
"(-79.896988,-2.185315)",360
"(-79.858362,-2.075722)",389
"(-79.946552,-2.16863)",374
"(-79.9478,-2.100319)",374
"(-80.145979,-2.25535)",393
"(-79.917357,-2.219896)",361
"(-79.882536,-2.127388)",380
"(-79.94806,-2.165287)",375
"(-79.873719,-2.081772)",384
"(-79.895349,-2.16364)",384
"(-79.895164,-2.181715)",351
"(-79.886581,-2.149142)",385
"(-79.885239,-2.145298)",380
"(-79.895778,-2.180173)",373
"(-79.88237,-2.130837)",380
"(-79.902884,-2.091454)",380
"(-79.974365,-2.184605)",392
"(-79.94576,-2.147414)",374
"(-79.86641,-2.122282)",319
"(-79.896494,-2.181474)",332
"(-79.841285,-2.07217)",390
"(-79.873825,-2.092477)",328
"(-79.94875,-2.8498484)",261
"(-79.900236,-2.21058)",360
"(-79.920473,-2.19543)",341
"(-80.26746,-2.335089)",393
"(-79.945052,-2.172802)",392
"(-79.895929,-2.180109)",372
"(-79.849607,-2.074175)",393
"(-79.891871,-2.170027)",380
"(-79.886009,-2.146833)",379
"(-79.94875,-2.8498484)",259
"(-79.841247,-2.072281)",384
"(-79.925289,-2.211464)",357
"(-79.891187,-2.162844)",329
"(-79.893661,-2.186671)",361
"(-79.898133,-2.175458)",383
"(-79.89688,-2.180912)",366
"(-79.872457,-2.073172)",328
"(-79.897717,-2.177749)",382
"(-79.912561,-2.176042)",386
"(-79.901599,-2.197556)",376
"(-79.913319,-2.050237)",391
"(-79.897468,-2.18286)",355
"(-79.851327,-2.07515)",328
"(-79.872769,-2.066209)",390
"(-79.867244,-2.119092)",384
"(-79.883894,-2.127894)",393
"(-79.882161,-2.139292)",318
"(-79.94875,-2.8498484)",249
"(-79.924531,-2.163981)",351
"(-80.082949,-2.217627)",394
"(-80.222897,-2.293342)",394
"(-79.873772,-2.081979)",121
"(-79.912124,-2.176396)",352
"(-79.94875,-2.8498484)",257
"(-79.899975,-2.235976)",347
"(-79.908012,-2.178875)",351
"(-79.888486,-2.158272)",380
"(-80.130877,-2.248884)",394
"(-79.895455,-2.163439)",328
"(-79.88411,-2.130279)",122
"(-79.89542,-2.163382)",385
"(-79.898346,-2.157933)",383
"(-79.911802,-2.176869)",387
"(-79.94875,-2.8498484)",257
"(-79.891365,-2.04492)",390
"(-79.924594,-2.208494)",356
"(-80.356702,-2.384519)",393
"(-79.900845,-2.190427)",371
"(-79.947672,-2.10874)",374
"(-79.897425,-2.182157)",333
"(-79.894339,-2.191661)",370
"(37.421998333333335,-122.08400000000002)",264
"(-79.897866,-2.176793)",382
"(-79.914708,-2.173834)",351
"(-79.94875,-2.8498484)",254
"(-79.855535,-2.07484)",121
"(-79.87156,-2.12524)",121
"(-79.94875,-2.8498484)",263
"(-79.94875,-2.8498484)",263
"(-79.903031,-2.206123)",356
"(-79.895866,-2.186025)",360
"(-79.903119,-2.168197)",375
"(-79.94574,-2.141125)",375
"(-79.886169,-2.152729)",329
"(-79.894987,-2.165669)",328
"(-79.9272292,-2.1228107)",315
"(-79.94803,-2.181682)",391
"(-79.904917,-2.199445)",340
"(-79.892169,-2.167434)",319
"(-79.894889,-2.180506)",373
"(-79.92859,-2.193379)",340
"(-79.92958,-2.19762)",376
"(-79.92775,-2.07889)",391
"(-79.895669,-2.164037)",385
"(-79.952899,-2.186107)",375
"(-79.94875,-2.8498484)",263
"(-79.895497,-2.186066)",361
"(-79.896984,-2.185323)",361
"(-79.899395,-2.172395)",367
"(-80.079399,-2.214577)",394
"(-79.901257,-2.220852)",361
"(-79.906855,-2.205054)",356
"(-79.948324,-2.084699)",374
"(-79.94875,-2.8498484)",262
"(-79.832946,-2.067914)",122
"(-79.881932,-2.1382)",122
"(-79.9272256,-2.1228027)",272
"(-79.879917,-2.167257)",326
"(-79.904597,-2.205692)",357
"(-79.843975,-2.07307)",385
"(-79.839887,-2.07227)",389
"(-79.94875,-2.8498484)",259
"(-80.247179,-2.313484)",393
"(-80.249515,-2.313585)",393
"(-79.94875,-2.8498484)",250
"(-79.895109,-2.165262)",329
"(-79.873759,-2.125609)",318
"(-80.335856,-2.376732)",394
"(-79.94875,-2.8498484)",257
"(-79.930763,-2.193347)",340
"(-79.8976944,-2.1845697)",343
"(-79.886375,-2.151622)",318
"(-79.928751,-2.159043)",386
"(-79.873849,-2.093424)",121
"(-79.888919,-2.050702)",389
"(-79.873865,-2.093495)",319
"(-79.890142,-2.050687)",391
"(-79.873744,-2.083087)",122
"(-79.87354,-2.102569)",319
"(-79.89301,-2.186961)",341
"(-79.895746,-2.165971)",366
"(-79.851559,-2.075344)",329
"(-79.947684,-2.11259)",374
"(-79.899401,-2.207142)",356
"(-79.93168,-2.126491)",386
"(-79.897455,-2.183175)",354
"(-79.893377,-2.18842)",361
"(-79.896047,-2.18214)",351
"(-79.870787,-2.07341)",393
"(-79.883756,-2.142484)",318
"(-79.89632,-2.18177)",351
"(-79.873742,-2.092147)",393
"(-79.94875,-2.8498484)",258
"(-79.895914,-2.051892)",392
"(-79.872817,-2.125449)",394
"(-79.94875,-2.8498484)",257
"(-79.867612,-2.11833)",319
"(-79.877909,-2.126149)",393
"(-79.94066,-2.082917)",392
"(-80.079207,-2.214817)",393
"(-79.945219,-2.171442)",374
"(-79.898684,-2.170632)",332
"(-79.873605,-2.085459)",394
"(-79.873614,-2.102222)",121
"(-79.832577,-2.069042)",393
"(-79.873745,-2.082905)",122
"(-79.94875,-2.8498484)",102
"(-79.895809,-2.183028)",370
"(-79.94787,-2.094362)",375
"(-80.266395,-2.332914)",393
"(-79.84273,-2.072491)",385
"(-79.842855,-2.072529)",385
"(-79.886562,-2.148894)",385
"(-79.870662,-2.112959)",394
"(-79.876261,-2.181401)",372
"(-79.894393,-2.191608)",341
"(-79.94287,-2.083997)",375
"(-79.857387,-2.074985)",319
"(-79.851067,-2.074849)",318
"(-79.873379,-2.072996)",122
"(-79.841174,-2.072279)",328
"(-79.873787,-2.074244)",319
"(-79.901955,-2.215457)",360
"(-79.89864,-2.205519)",360
"(-79.893004,-2.187028)",360
"(-79.94875,-2.8498484)",262
"(-79.94875,-2.8498484)",258
"(-79.932904,-2.129316)",387
"(-79.896748,-2.185723)",360
"(-79.904917,-2.199445)",341
"(-79.930008,-2.192986)",341
"(-79.897466,-2.182906)",355
"(-79.933268,-2.130451)",386
"(-79.873787,-2.080859)",122
"(-79.920364,-2.087325)",402
"(-79.920369,-2.087306)",399
"(-79.893274,-2.186748)",360
"(-79.891929,-2.164154)",329
"(-79.892522,-2.181092)",380
"(-79.900188,-2.210464)",360
"(-79.922656,-2.165874)",351
"(-80.079474,-2.214495)",394
"(-79.94875,-2.8498484)",263
"(-79.934926,-2.225488)",341
"(-79.89587,-2.196303)",340
"(-79.872535,-2.106795)",393
"(-79.9272371,-2.1228203)",397
"(-79.886144,-2.153306)",380
"(-79.895571,-2.186037)",361
"(-79.88617,-2.147077)",328
"(-79.924974,-2.163744)",352
"(-79.976779,-2.183782)",391
"(-80.141222,-2.253692)",393
"(-79.89564,-2.163675)",330
"(-80.220279,-2.293547)",394
"(-79.874119,-2.097829)",384
"(-79.904728,-2.196707)",376
"(-79.882504,-2.123925)",318
"(-79.894778,-2.192939)",340
"(-79.887974,-2.050585)",390
"(-79.873071,-2.104457)",318
"(-79.839459,-2.072336)",393
"(-79.889151,-2.101913)",379
"(-79.898653,-2.161436)",367
"(-79.90554,-2.151099)",374
"(-80.357624,-2.385524)",393
"(-79.871879,-2.109722)",384
"(-79.898339,-2.186449)",352
"(-79.94875,-2.8498484)",255
"(-79.898634,-2.205481)",360
"(-79.844609,-2.073424)",122
"(-79.893081,-2.186221)",340
"(-79.89127,-2.238679)",375
"(-79.922535,-2.058811)",391
"(-79.876347,-2.181439)",373
"(-79.889829,-2.049565)",389
"(-79.850725,-2.074567)",318
"(-80.14935,-2.259337)",393
"(-79.897632,-2.202224)",360
"(-79.920364,-2.087325)",402
"(-79.90034,-2.197874)",376
"(-79.92582,-2.061462)",391
"(-79.895586,-2.181897)",351
"(-79.897821,-2.17716)",383
"(-79.907883,-2.195929)",376
"(-79.896735,-2.167994)",382
"(-79.834804,-2.073037)",385
"(-79.866949,-2.073939)",389
"(-79.895627,-2.238945)",374
"(-79.906074,-2.219782)",360
"(-79.897598,-2.150323)",366
"(-79.902808,-2.206191)",357
"(-79.94875,-2.8498484)",263
"(-79.895911,-2.185975)",360
"(-79.901059,-2.172014)",367
"(-79.890102,-2.049242)",392
"(-79.9271323,-2.1228152)",303
"(-79.904439,-2.157464)",374
"(-79.873594,-2.102337)",319
"(-79.8984542,-2.1772747)",336
"(-79.91799,-2.170859)",386
"(-79.873375,-2.072996)",122
"(-79.833261,-2.067982)",393
"(-79.869436,-2.115167)",122
"(-79.912735,-2.203405)",357
"(-79.8963771,-2.18186)",312
"(-79.94848,-2.18303)",375
"(-79.8959,-2.196624)",360
"(-79.894659,-2.170887)",362
"(-79.94875,-2.8498484)",259
"(-79.894744,-2.192898)",360
"(-79.86743,-2.11868)",328
"(-79.863017,-2.0745)",319
"(-79.94875,-2.8498484)",242
"(-79.896196,-2.181684)",351
"(-79.928022,-2.237307)",374
"(-79.904188,-2.196818)",377
"(-79.905629,-2.150887)",374
"(-79.917859,-2.239747)",375
"(-79.863036,-2.07451)",328
"(-79.867561,-2.020766)",327
"(-79.8963771,-2.18186)",312
"(-79.857422,-2.07503)",385
"(-79.870715,-2.073364)",390
"(-79.898633,-2.173046)",382
"(-79.840794,-2.072274)",328
"(-79.841909,-2.072046)",328
"(-80.132035,-2.248512)",394
"(-79.894567,-2.166305)",331
"(-79.832919,-2.067977)",385
"(-79.896904,-2.19983)",341
"(-79.882899,-2.130475)",384
"(-79.925289,-2.211464)",356
"(-79.894611,-2.170903)",362
"(-79.94875,-2.8498484)",248
"(-79.882125,-2.139185)",384
"(-79.832884,-2.069194)",318
"(-79.873654,-2.073002)",121
"(-79.886549,-2.148767)",319
"(-79.94875,-2.8498484)",252
"(-79.897424,-2.183312)",378
